Unknown Face,chung.png,woo.png,chang.png
942_04_2.jpg,False,False,True
942_04_1.jpg,False,True,True
CER W3C3_001_SM_9.jpg,Fail,Fail,Fail
CER W3C3_001_SM_4.jpg,True,True,False
CER W3C3_001_SM_5.jpg,True,True,False
CER W3C3_001_SM_6.jpg,False,False,False
CER W3C3_001_SM_10.jpg,Fail,Fail,Fail
CER W3C3_001_SM_2.jpg,False,False,False
CER W3C3_001_SM_1.jpg,Fail,Fail,Fail
CER W3C3_001_SM_3.jpg,True,False,False
CER W3C3_001_SM_0.jpg,True,True,False
CER KEL_003_SM_0.jpg,False,False,False
CER KEL_003_SM_1.jpg,True,True,True
942_04_0.jpg,True,True,False
942_03_2.jpg,False,True,True
942_03_3.jpg,Fail,Fail,Fail
942_03_0.jpg,False,True,True
872-22_1.jpg,True,True,False
942_03_1.jpg,False,False,True
691-27_4.jpg,True,True,False
691-27_3.jpg,True,True,False
CONF HERA_004_SM_1.jpg,True,True,False
CONF HERA_004_SM_2.jpg,False,True,False
CONG 1_013_SM8_0.jpg,False,False,False
CONF HERA_004_SM_5.jpg,False,True,False
CONF HERA_004_SM_6.jpg,Fail,Fail,Fail
CONF HERA_004_SM_3.jpg,True,True,False
CONF HERA_004_SM_7.jpg,False,True,False
CONG 1_013_SM8_10.jpg,Fail,Fail,Fail
Cnews SP 99_P8-3_SM_1.jpg,Fail,Fail,Fail
Cnews SP 99_P8-3_SM_3.jpg,Fail,Fail,Fail
CONF HERA_004_SM_4.jpg,False,False,False
CONG 1_013_SM8_3.jpg,Fail,Fail,Fail
CONG 1_013_SM8_4.jpg,Fail,Fail,Fail
CONG 1_013_SM8_5.jpg,Fail,Fail,Fail
CONG 1_013_SM8_13.jpg,Fail,Fail,Fail
CONG 1_013_SM8_11.jpg,Fail,Fail,Fail
CONG 1_013_SM8_14.jpg,False,False,False
CONG 1_013_SM8_12.jpg,Fail,Fail,Fail
CONF HERA_004_SM_0.jpg,True,True,False
CONG 1_013_SM8_1.jpg,Fail,Fail,Fail
CONG 1_013_SM8_2.jpg,Fail,Fail,Fail
Cnews SP 99_P8-3_SM_2.jpg,Fail,Fail,Fail
CMT UCL_009_SM_3.jpg,Fail,Fail,Fail
CMT UCL_009_SM_4.jpg,Fail,Fail,Fail
Cnews SP 99_P8-3_SM_0.jpg,Fail,Fail,Fail
CMT UCL_009_SM_1.jpg,Fail,Fail,Fail
CMT UCL_009_SM_0.jpg,Fail,Fail,Fail
CONG5_055_SM_10.jpg,Fail,Fail,Fail
CONG5_055_SM_9.jpg,Fail,Fail,Fail
CONG 1_013_SM8_6.jpg,Fail,Fail,Fail
CONG 7_044_0.jpg,True,True,False
CONG5_055_SM_3.jpg,False,False,False
CONG5_055_SM_4.jpg,Fail,Fail,Fail
CONG 1_013_SM8_7.jpg,Fail,Fail,Fail
CONG 7_011_6.jpg,Fail,Fail,Fail
CONG 7_011_1.jpg,Fail,Fail,Fail
CONG5_055_SM_5.jpg,False,True,False
CONG5_055_SM_12.jpg,Fail,Fail,Fail
CONG5_055_SM_2.jpg,False,True,False
CONG5_055_SM_11.jpg,Fail,Fail,Fail
CONG 7_044_1.jpg,True,True,False
CONG5_055_SM_0.jpg,False,True,True
CONG5_055_SM_1.jpg,True,True,False
CONG 7_011_5.jpg,Fail,Fail,Fail
CONG 7_011_4.jpg,Fail,Fail,Fail
CONG 7_011_2.jpg,Fail,Fail,Fail
CONG 7_011_3.jpg,Fail,Fail,Fail
CONG 7_011_0.jpg,False,True,False
CONG 1_013_SM8_9.jpg,Fail,Fail,Fail
CONG 1_013_SM8_8.jpg,Fail,Fail,Fail
COU ACI_007_SM_1.jpg,Fail,Fail,Fail
CONG5_055_SM_8.jpg,False,True,False
COU ACI_002_SM_0.jpg,False,False,False
CONG5_055_SM_7.jpg,Fail,Fail,Fail
COU ACI_002_SM_2.jpg,True,True,False
CONG5_055_SM_6.jpg,Fail,Fail,Fail
COU ACI_105_SM_4.jpg,False,False,False
