x,y,id
51.163395,-55.435017,23-6
47.45238,-52.358604,23-7
48.8507,-53.065823,24-10
47.86975,-52.045887,24-11
48.319237,-52.77609,24-12
49.120365,-52.925533,24-13
48.23521,-52.94471,24-8
48.91649,-55.536346,24-9
47.343147,-51.82865,25-1
48.89832,-53.527412,26-26
47.392426,-52.44257,26-27
48.54323,-53.193344,26-28
48.02605,-51.858757,26-29
48.561405,-53.109222,26-30
47.259323,-52.547993,26-31
42.3879,7.0791,52-1
43.309464,6.9485807,53-2
36.48094,-10.411229,53-3
36.53799,-10.349391,53-4
36.867153,-10.101708,53-5
32.9965,-7.125512,53-6
57.413464,-27.958986,53-7
38.191853,-8.2682495,54-10
36.864113,-10.005822,54-11
4.5168586,-7.8273053,54-12
32.761623,-5.3597693,54-13
37.986332,-7.833789,54-8
36.82971,-10.044423,54-9
32.90464,-5.359904,55-14
38.217304,-9.369991,55-15
3.70088,-5.409206,55-16
1.1590652,11.439686,55-17
3.6843767,-5.4640684,55-18
1.4876128,12.533778,55-19
1.1325877,11.400364,56-20
7.31883,-27.466232,56-21
35.994015,-11.039237,56-22
35.714523,-11.567681,56-23
4.5804844,9.377277,56-24
4.175627,9.362256,56-25
4.2738194,9.3295765,57-26
21.919853,-47.95316,57-27
35.96054,-11.108601,57-28
35.6166,-11.678158,57-29
35.539066,-11.728762,57-30
-3.8495948,-13.522316,57-31
-4.049369,-13.527152,58-32
35.61135,-11.3762455,58-33
37.13727,-10.041155,58-34
37.030537,-10.078335,58-35
59.39331,-14.738304,58-36
82.75692,-20.111223,59-1
83.49074,-20.652903,60-10
-5.5005383,-8.286948,60-11
81.80488,-21.525887,60-12
82.84979,-20.189676,60-13
84.10756,-21.155157,60-8
82.82049,-19.876844,60-9
83.30287,-21.76627,61-2
83.57868,-20.472075,61-3
83.28706,-20.798016,61-4
83.45336,-20.55447,61-5
80.870285,-29.248789,61-6
83.147354,-19.845316,61-7
27.256695,-23.3953,62-1
77.39808,-21.207584,63-2
77.11864,-21.415573,63-3
30.431175,-27.715553,63-4
84.61917,-22.57827,63-5
77.989105,-21.48806,63-6
-61.58546,76.094536,63-7
76.78112,-12.573904,64-10
82.769844,-18.731554,64-11
-86.39219,9.468538,64-12
76.98642,-21.55142,64-13
14.485361,-36.915993,64-8
-61.60544,76.09253,64-9
14.743086,-37.20872,65-14
77.401855,-21.25353,65-15
-20.139769,77.585365,65-16
10.047864,9.883082,65-17
87.01545,-25.95829,65-18
30.009579,-31.091248,65-19
84.71499,-21.062262,66-20
-1.8201329,-32.64036,66-21
86.31769,-26.321732,66-22
14.687845,-20.506134,66-23
23.380957,-17.54901,66-24
19.871914,-10.352841,66-25
88.238754,-27.630901,67-26
88.435844,-27.558582,67-27
83.497734,-21.837631,67-28
83.52533,-26.336397,67-29
29.931374,-30.318699,67-30
30.107758,-30.566544,67-31
82.799446,-20.190565,68-14
82.921036,-19.616226,68-15
83.12284,-20.524242,68-16
82.454544,-21.407148,68-17
82.76589,-20.940916,68-18
83.02511,-20.38367,68-19
83.23074,-20.066038,69-20
83.99928,-21.149298,69-21
83.123085,-20.524246,69-22
82.08499,-19.471733,69-23
-19.803469,75.60644,69-24
83.4408,-20.511137,69-25
82.90442,-19.945726,70-26
82.01558,-19.414965,70-27
82.92662,-20.228537,70-28
83.50373,-21.840126,70-29
-77.98943,42.55272,70-30
-53.532944,50.53736,70-31
-56.80209,71.96635,71-32
14.54899,-36.987667,71-33
-73.75574,17.40753,71-34
15.111108,-37.579685,71-35
-45.200882,92.410416,71-36
-73.75057,17.23872,71-37
3.4876146,54.72268,73-32
-0.6044671,3.2260895,73-33
23.102808,-17.849678,73-34
13.542208,-19.993069,73-35
30.009737,-29.95343,73-36
86.4428,-25.692392,73-37
-9.268242,-24.219282,74-2
10.16823,7.479953,74-3
83.36158,-21.007542,74-4
83.356514,-20.987988,74-5
83.33593,-36.278175,74-6
82.9238,-26.412481,74-7
86.78732,-25.799002,75-10
28.422768,-19.50947,75-11
-68.79167,23.634205,75-12
15.694201,-20.461374,75-13
87.97696,-27.55525,75-8
83.29107,-27.564575,75-9
10.466278,-30.480087,76-14
-62.81888,27.277039,76-15
-73.98508,26.085922,76-16
-74.22112,26.204672,76-17
-73.97369,26.086952,76-18
-75.11234,25.635874,76-19
-68.77204,23.75517,77-20
10.379791,-29.773993,77-21
27.487097,-22.70213,77-22
26.7307,-22.841892,77-23
15.510654,-20.417244,77-24
26.197887,-23.366646,77-25
27.222956,-23.34459,78-26
-68.51806,23.361448,78-27
-76.71273,44.47006,78-28
-76.794525,44.8303,78-29
38.956165,11.829765,78-30
-67.46938,26.26909,78-31
9.769064,8.890744,79-32
38.706642,10.60304,79-33
22.531311,10.938454,79-34
4.5183244,-23.236998,79-35
9.6184845,8.767146,79-36
-87.60964,8.997745,79-37
40.79936,-14.281725,STA_G_SALE_001SM
26.317781,36.642593,STA_G_SALE_002SM
-0.4950399,2.1987524,STA_G_SALE_003SM
9.369948,-27.74595,STA_G_SALE_004SM
22.44627,-18.966898,STA_G_SALE_005SM
8.869677,-27.326204,STA_G_SALE_006SM
18.204525,49.880054,STA_G_SALE_007SM
22.719793,11.109578,STA_G_SALE_008SM
38.776855,10.633803,STA_G_SALE_009SM
49.228806,3.6507852,STA_G_SALE_010SM
34.721252,-3.5191653,STA_G_SALE_011SM
4.3352613,-21.590647,STA_G_SALE_012SM
17.07433,-35.694904,STA_G_SALE_013SM
20.35131,20.144135,STA_G_SALE_014SM
36.296062,-4.64103,STA_G_SALE_015SM
24.627594,-16.080956,STA_G_SALE_016SM
42.040825,0.05911472,STA_G_SALE_017SM
21.31479,-18.668148,STA_G_SALE_018SM
38.172817,2.4885545,STA_G_SALE_019SM
40.89545,-13.936793,STA_G_SALE_020SM
20.337463,20.160908,STA_G_SALE_021SM
43.386402,4.331615,STA_G_SALE_022SM
37.950054,3.7794871,STA_G_SALE_023SM
37.97604,3.7189395,STA_G_SALE_024SM
11.431184,-12.455443,STA_G_SALE_025SM
44.595936,5.260167,STA_G_SALE_026SM
21.52144,11.226826,STA_G_SALE_027SM
40.797565,-14.5753355,STA_G_SALE_028SM
20.396275,20.194582,STA_G_SALE_029SM
37.564777,10.747127,STA_G_SALE_030SM
23.477695,-17.570805,STA_G_SALE_031SM
5.780309,-21.773272,STA_G_SALE_032SM
41.685616,5.250294,STA_G_SALE_033SM
56.671955,-3.5977275,STA_G_SALE_034SM
24.628391,-16.239813,STA_G_SALE_035SM
42.61294,0.880033,STA_G_SALE_036SM
42.278667,9.87672,STA_LT_NT_001SM
18.346169,11.704044,STA_LT_NT_002SM
18.527498,11.708364,STA_LT_NT_003SM
28.302473,22.801805,STA_LT_NT_004SM
42.27253,9.869965,STA_LT_NT_005SM
-85.35396,11.043062,STA_LT_NT_006SM
18.21396,11.749343,STA_LT_NT_007SM
42.254803,9.906509,STA_LT_NT_008SM
-5.856317,-21.681423,STA_LT_NT_009SM
42.28944,9.873486,STA_LT_NT_010SM
54.317272,-4.940154,STA_LT_NT_011SM
18.435062,11.712547,STA_LT_NT_012SM
18.45495,11.731298,STA_LT_NT_013SM
-0.9179411,-14.979694,STA_LT_NT_014SM
18.499182,11.643596,STA_LT_NT_015SM
18.400644,11.397392,STA_LT_NT_016SM
18.653349,10.527076,STA_LT_NT_017SM
19.124931,-65.3875,STA_LT_NT_018SM
-14.341319,88.000725,100-21
-5.269039,23.007921,100-22
-5.160741,22.63752,100-23
-5.285672,23.614962,100-24
-0.41387054,-5.5356245,100-25
-35.08857,42.557186,100-26
-61.611206,-28.554365,101-16
11.467749,79.61871,101-17
-56.125656,42.39963,101-18
9.22715,92.71875,101-19
-14.482409,70.481,101-20
-23.686579,-25.335852,STA_PKC_001SM
38.870266,-31.789173,STA_PKC_002SM
-23.707666,-25.466703,STA_PKC_003SM
39.147026,-32.084095,STA_PKC_004SM
39.098984,-31.751532,STA_PKC_005SM
-23.654902,-25.2149,STA_PKC_006SM
-23.686218,-25.336014,STA_PKC_007SM
