,albumID,name,aTitle,aDate,mDate,aURL
29,29,lib-9909,"An Exhibition of Chinese Paintings by Au Ho-nien, 10 September 1999 to 8 December 1999",2012-03-08 04:05:08,2012-03-08 04:05:08,http://digitalimages.ust.hk/gallery/?p=630
30,30,lib-9912a,"Colloquium on Information Science: HKUST Library Series No.5 - The Challenges to and the Opportunities of Libraries in the New Century, 10 December 1999 - 14 December 1999",2012-03-08 04:05:08,2012-03-08 04:05:08,http://digitalimages.ust.hk/gallery/?p=631
31,31,lib-9912b,"Gems of New Year Prints - An Exhibition from the Shanghai Library Collection, 15 December 1999 - 17 March 2000",2012-03-08 04:05:09,2012-03-08 04:05:09,http://digitalimages.ust.hk/gallery/?p=632
32,32,a1-10,Kite Flying Contest,2012-08-01 02:01:10,2012-08-01 02:01:10,http://digitalimages.ust.hk/gallery2/?p=639
33,33,a1-100,Media Luncheon : Stephen Vines,2012-08-01 02:01:14,2012-08-01 02:01:14,http://digitalimages.ust.hk/gallery2/?p=640
34,34,a1-110,Baroque to Rock (Concert at Expo Hall),2012-08-01 02:01:17,2012-08-01 02:01:17,http://digitalimages.ust.hk/gallery2/?p=641
35,35,a1-120,Baroque to Rock (Expo Hall),2012-08-01 02:01:19,2012-08-01 02:01:19,http://digitalimages.ust.hk/gallery2/?p=642
36,36,a1-140,Chamber Music In HKUST,2012-08-01 02:01:20,2012-08-01 02:01:20,http://digitalimages.ust.hk/gallery2/?p=643
37,37,a1-160,Lunch Concert  :  7th Fleet Navy Band,2012-09-10 10:01:25,2012-09-10 10:04:56,http://digitalimages.ust.hk/gallery2/?p=644
38,38,a1-162,AGM,2012-08-01 02:01:25,2012-08-01 02:01:25,http://digitalimages.ust.hk/gallery2/?p=645
39,39,a1-163,Basketball Practice,2012-09-10 10:01:25,2012-09-10 10:05:42,http://digitalimages.ust.hk/gallery2/?p=646
40,40,a1-165,BBQ,2012-08-01 02:01:31,2012-08-01 02:01:31,http://digitalimages.ust.hk/gallery2/?p=647
41,41,a1-170,Boat Trip,2012-08-01 02:01:32,2012-08-01 02:01:32,http://digitalimages.ust.hk/gallery2/?p=648
42,42,a1-175,Cheque Presentation,2012-08-01 02:01:33,2012-08-01 02:01:33,http://digitalimages.ust.hk/gallery2/?p=649
43,43,a1-180,Children's Ballet Class,2012-08-01 02:01:35,2012-08-01 02:01:35,http://digitalimages.ust.hk/gallery2/?p=650
44,44,a1-185,Children's Swimming Class,2012-08-01 02:01:41,2012-08-01 02:01:41,http://digitalimages.ust.hk/gallery2/?p=651
45,45,a1-191,Community Chest Walking,2012-08-01 02:01:46,2012-08-01 02:01:46,http://digitalimages.ust.hk/gallery2/?p=652
46,46,a1-195,Fun Day,2012-08-01 02:02:02,2012-08-01 02:02:02,http://digitalimages.ust.hk/gallery2/?p=653
47,47,a1-196,Garage Sale,2012-08-01 02:02:08,2012-08-01 02:02:08,http://digitalimages.ust.hk/gallery2/?p=654
48,48,a1-198,Lantern Night,2012-08-01 02:02:12,2012-08-01 02:02:12,http://digitalimages.ust.hk/gallery2/?p=655
49,49,a1-20,Technical Writing Competition,2012-08-01 02:02:14,2012-08-01 02:02:14,http://digitalimages.ust.hk/gallery2/?p=656
50,50,a1-200,Pa Kua Class,2012-08-01 02:02:15,2012-08-01 02:02:15,http://digitalimages.ust.hk/gallery2/?p=657
51,51,a1-220,Social Club Football Team,2012-08-01 02:02:16,2012-08-01 02:02:16,http://digitalimages.ust.hk/gallery2/?p=658
52,52,a1-225,Social Club Football Team - Competition with outsiders,2012-08-01 02:02:16,2012-08-01 02:02:16,http://digitalimages.ust.hk/gallery2/?p=659
53,53,a1-230,Staff Cricket Practice,2012-08-01 02:02:19,2012-08-01 02:02:19,http://digitalimages.ust.hk/gallery2/?p=660
54,54,a1-235,Staff/Student Basketball Game,2012-08-01 02:02:21,2012-08-01 02:02:21,http://digitalimages.ust.hk/gallery2/?p=661
55,55,a1-240,Tai-Chi Class,2012-08-01 02:02:24,2012-08-01 02:02:24,http://digitalimages.ust.hk/gallery2/?p=662
56,56,a1-243,Table Tennis,2012-08-01 02:02:26,2012-08-01 02:02:26,http://digitalimages.ust.hk/gallery2/?p=663
57,57,a1-245,Trailwalker '96,2012-08-01 02:02:32,2012-08-01 02:02:32,http://digitalimages.ust.hk/gallery2/?p=664
58,58,a1-247,Add / Drop Period in Expo. Hall,2012-08-01 02:02:32,2012-08-01 02:02:32,http://digitalimages.ust.hk/gallery2/?p=665
59,59,a1-25,Soccer Game with Dragonair,2012-08-01 02:02:34,2012-08-01 02:02:34,http://digitalimages.ust.hk/gallery2/?p=666
60,60,a1-250a,First Annual Aquatic Meet,2012-08-01 02:02:36,2012-08-01 02:02:36,http://digitalimages.ust.hk/gallery2/?p=667
61,61,a1-250b,2nd Athletic Meet,2012-08-01 02:02:37,2012-08-01 02:02:37,http://digitalimages.ust.hk/gallery2/?p=668
62,62,a1-260,Athletic Meet '94,2012-08-01 02:02:42,2012-08-01 02:02:42,http://digitalimages.ust.hk/gallery2/?p=669
63,63,a1-265,Athletic Meet '96,2012-08-01 02:02:47,2012-08-01 02:02:47,http://digitalimages.ust.hk/gallery2/?p=670
64,64,a1-266,Athletic Meet '97,2012-08-01 02:02:57,2012-08-01 02:02:57,http://digitalimages.ust.hk/gallery2/?p=671
65,65,a1-267,Athletic Meet '98,2012-08-01 02:03:22,2012-08-01 02:03:22,http://digitalimages.ust.hk/gallery2/?p=672
66,66,a1-27,Parent-child Art Workshop,2012-08-01 02:03:27,2012-08-01 02:03:27,http://digitalimages.ust.hk/gallery2/?p=673
67,67,a1-270,Athletic Meeting,2012-08-01 02:03:49,2012-08-01 02:03:49,http://digitalimages.ust.hk/gallery2/?p=674
68,68,a1-280,Fourth Athletics Meet,2012-08-01 02:03:56,2012-08-01 02:03:56,http://digitalimages.ust.hk/gallery2/?p=675
69,69,a1-290,Beach Clean Up,2012-08-01 02:04:02,2012-08-01 02:04:02,http://digitalimages.ust.hk/gallery2/?p=676
70,70,a1-30,Indian Dance,2012-08-01 02:04:05,2012-08-01 02:04:05,http://digitalimages.ust.hk/gallery2/?p=677
71,71,a1-310,Beach Night,2012-08-01 02:04:08,2012-08-01 02:04:08,http://digitalimages.ust.hk/gallery2/?p=678
72,72,a1-315,Beach Project,2012-08-01 02:04:09,2012-08-01 02:04:09,http://digitalimages.ust.hk/gallery2/?p=679
73,73,a1-320,Summer Canoeing Course,2012-08-01 02:04:13,2012-08-01 02:04:13,http://digitalimages.ust.hk/gallery2/?p=680
74,74,a1-330,Inter-House Carnival,2012-08-01 02:04:21,2012-08-01 02:04:21,http://digitalimages.ust.hk/gallery2/?p=681
75,75,a1-340,Water Carnival '93,2012-08-01 02:04:30,2012-08-01 02:04:30,http://digitalimages.ust.hk/gallery2/?p=682
76,76,a1-35,Aerobics Class,2012-08-01 02:04:34,2012-08-01 02:04:34,http://digitalimages.ust.hk/gallery2/?p=683
77,77,a1-350,Charity Walk,2012-08-01 02:04:37,2012-08-01 02:04:37,http://digitalimages.ust.hk/gallery2/?p=684
78,78,a1-355,Charity Rowing,2012-08-01 02:04:43,2012-08-01 02:04:43,http://digitalimages.ust.hk/gallery2/?p=685
79,79,a1-360,Student in Class,2012-08-01 02:04:46,2012-08-01 02:04:46,http://digitalimages.ust.hk/gallery2/?p=686
80,80,a1-363,Student in Class (CENG),2012-08-01 02:04:57,2012-08-01 02:04:57,http://digitalimages.ust.hk/gallery2/?p=687
81,81,a1-370,Student in Class (Finance),2012-09-10 10:01:25,2012-09-10 10:06:19,http://digitalimages.ust.hk/gallery2/?p=688
82,82,a1-371,Student in Class (GDM),2012-08-01 02:05:10,2012-08-01 02:05:10,http://digitalimages.ust.hk/gallery2/?p=689
83,83,a1-372,Student in Class (Language Centre),2012-08-01 02:05:10,2012-08-01 02:05:10,http://digitalimages.ust.hk/gallery2/?p=690
84,84,a1-374,Student in Class (Marketing),2012-08-01 02:05:11,2012-08-01 02:05:11,http://digitalimages.ust.hk/gallery2/?p=691
85,85,a1-376,Student in Class (Maths),2012-08-01 02:05:11,2012-08-01 02:05:11,http://digitalimages.ust.hk/gallery2/?p=692
86,86,a1-380,10 Best Lecturers Election,2012-08-01 02:05:19,2012-08-01 02:05:19,http://digitalimages.ust.hk/gallery2/?p=693
87,87,a1-390,1st University Rowing Championship,2012-08-01 02:05:21,2012-08-01 02:05:21,http://digitalimages.ust.hk/gallery2/?p=694
88,88,a1-400,3-On-3 Basketball Competition,2012-08-01 02:05:24,2012-08-01 02:05:24,http://digitalimages.ust.hk/gallery2/?p=695
89,89,a1-410,4th ACM Programming,2012-08-01 02:05:28,2012-08-01 02:05:28,http://digitalimages.ust.hk/gallery2/?p=696
90,90,a1-420,Baseball Competition,2012-08-01 02:05:30,2012-08-01 02:05:30,http://digitalimages.ust.hk/gallery2/?p=697
91,91,a1-430,Basketball Competition,2012-08-01 02:05:33,2012-08-01 02:05:33,http://digitalimages.ust.hk/gallery2/?p=698
92,92,a1-440,Basketball Competition (staff vs student),2012-08-01 02:05:37,2012-08-01 02:05:37,http://digitalimages.ust.hk/gallery2/?p=699
93,93,a1-450,Campus Run '93,2012-08-01 02:05:39,2012-08-01 02:05:39,http://digitalimages.ust.hk/gallery2/?p=700
94,94,a1-460,Campus Run '95,2012-08-01 02:05:41,2012-08-01 02:05:41,http://digitalimages.ust.hk/gallery2/?p=701
95,95,a1-470,Campus Run '96,2012-08-01 02:05:43,2012-08-01 02:05:43,http://digitalimages.ust.hk/gallery2/?p=702
96,96,a1-473,Campus Run '97,2012-08-01 02:05:49,2012-08-01 02:05:49,http://digitalimages.ust.hk/gallery2/?p=703
97,97,a1-475,Debate Forum Success,2012-08-01 02:05:50,2012-08-01 02:05:50,http://digitalimages.ust.hk/gallery2/?p=704
98,98,a1-480,Dragon Boat Race Pratice Session by Faculty and Staff,2012-08-01 02:05:51,2012-08-01 02:05:51,http://digitalimages.ust.hk/gallery2/?p=705
99,99,a1-490,Dragon Boat '92,2012-08-01 02:05:57,2012-08-01 02:05:57,http://digitalimages.ust.hk/gallery2/?p=706
100,100,a1-5,UGC Higher Education Report: Reactions,2012-08-01 02:05:58,2012-08-01 02:05:58,http://digitalimages.ust.hk/gallery2/?p=707
101,101,a1-50,"Fellowship Dinner on Reception (HKUST, HKU, CU)",2012-08-01 02:06:02,2012-08-01 02:06:02,http://digitalimages.ust.hk/gallery2/?p=708
102,102,a1-500,Dragon Boat '93,2012-08-01 02:06:23,2012-08-01 02:06:23,http://digitalimages.ust.hk/gallery2/?p=709
103,103,a1-510,Dragon Boat '94,2012-08-01 02:06:32,2012-08-01 02:06:32,http://digitalimages.ust.hk/gallery2/?p=710
104,104,a1-511,Dragon Boat '96,2012-08-01 02:06:33,2012-08-01 02:06:33,http://digitalimages.ust.hk/gallery2/?p=711
105,105,a1-512,Handball Competition,2012-08-01 02:06:47,2012-08-01 02:06:47,http://digitalimages.ust.hk/gallery2/?p=712
106,106,a1-516-10,HKIE - MIE Student Project Competition 1998,2012-08-01 02:06:48,2012-08-01 02:06:48,http://digitalimages.ust.hk/gallery2/?p=713
107,107,a1-516,Handball Competition (Celebration of HK's return to China for One Year),2012-08-01 02:07:31,2012-08-01 02:07:31,http://digitalimages.ust.hk/gallery2/?p=714
108,108,a1-517,Indoor Rowing Competition,2012-08-01 02:07:38,2012-08-01 02:07:38,http://digitalimages.ust.hk/gallery2/?p=715
109,109,a1-520,Joint-College Taikwando Competition,2012-08-01 02:07:46,2012-08-01 02:07:46,http://digitalimages.ust.hk/gallery2/?p=716
110,110,a1-530,Mini-Soccer Competition,2012-08-01 02:07:51,2012-08-01 02:07:51,http://digitalimages.ust.hk/gallery2/?p=717
111,111,a1-545,Putonghua Competition Rehearsal,2012-08-01 02:07:57,2012-08-01 02:07:57,http://digitalimages.ust.hk/gallery2/?p=718
112,112,a1-550,Round-Campus Race,2012-08-01 02:08:14,2012-08-01 02:08:14,http://digitalimages.ust.hk/gallery2/?p=719
